id,Date,Longitude,Latitude,Route,Operator,Type,Registration,Aboard,Fatalities,weather,terrain,sabotage,unknown,mechanical,human,pilot,flt_src,flt_dest,src_lon,src_lat,dest_lon,dest_lat
3081,09/26/1978,-66.10572,18.46633,"Borinquen, PR - San Juan, PR",Francisco Cruz,Beech D18AS,N500L,6,6,0,0,0,0,0,0,0,"Borinquen, PR","San Juan, PR",-100.445882,39.78373,-66.116666,18.465299
3082,10/03/1978,27.67703,62.89238,Kuopio - Helsinki,Military - Finish Air Force,Douglas C-47A-1-DK,DO-10,15,15,0,0,0,0,0,0,0,Kuopio,Helsinki,27.594561,62.824142,24.942568,60.167409
3085,10/08/1978,-151.25833,60.55444,"Kenai, AK - Return",Era Helicopter - Air Taxi,Bell 205-1,N2215W,7,2,0,0,0,0,0,0,0,"Kenai, AK",Return,-151.258333,60.554444,-82.995427,34.639821
3088,10/24/1978,-107.213933,35.797244,"Oberlin, KS - Phoenix, NM",Don Zimmerman - Air Taxi,Beechcraft 65-80,N866G,4,4,1,0,0,0,0,0,1,"Oberlin, KS","Phoenix, NM",-100.528201,39.818338,-106.553234,35.111023
3091,11/13/1978,-99.25061,31.25044,"Dallas, TX - Lubbox, TX",Astrd Wing Aviaiton - Air Taxi,Cessna 310J,N310BJ,2,2,1,0,0,0,0,0,1,"Dallas, TX","Lubbox, TX",-96.796856,32.776272,-100.445882,39.78373
3092,11/15/1978,79.8757,7.1643,Jeddah - Colombo,Loftleidir IcelandiAirlines,McDonnell Douglas DC-8-Super 63CF,TF-FLA,262,183,1,0,0,0,0,0,0,Jeddah,Colombo,39.16404,21.582225,79.853846,6.934997
3093,11/16/1978,-99.334803,38.878202,"Wichita, KS - Hays, KS",Festus Flying Service - Air Taxi,Beechcraft G18S,N910PC,2,2,0,0,0,0,0,0,1,"Wichita, KS","Hays, KS",-97.337545,37.692236,-99.32677,38.879178
3095,11/19/1978,77.58402,34.16504,Chandigarh - Leh,Military - Indian Air Force,Antonov An-12,,77,77,0,0,0,0,0,0,0,Chandigarh,Leh,76.764655,30.719402,77.584813,34.164203
3096,11/21/1978,-72.35569,7.70131,Cucuta - Arauca,Taxi Aereo el Venado,Douglas C-47A,HK-1393,27,27,0,0,0,0,0,0,0,Cucuta,Arauca,-73.041322,-15.335253,-71.000009,6.666676
3097,11/25/1978,-132.825903,55.208706,"Ketchikan, AK - Hydaburg, AK",Tyee Airlines - Air Taxi,de Havilland DHC-2,N37906,5,5,1,0,0,0,0,0,0,"Ketchikan, AK","Hydaburg, AK",-131.646682,55.34307,-132.826667,55.208056
3098,11/28/1978,-72.763564,41.78516,"Hartford, CT - Newburg, NY",Corporate Air - Air Taxi,Aerostar 601P,N8999A,3,3,0,0,0,0,0,0,0,"Hartford, CT","Newburg, NY",-72.690867,41.764549,-78.119732,42.693117
3099,12/04/1978,-106.83172,40.48498,Steamboat Springs - Denver,Rocky Mountain Airways,de Havilland Canada DHC-6 Twin Otter 300,N25RM,22,2,1,0,0,0,0,0,0,Steamboat Springs,Denver,-106.831736,40.4848,-104.984703,39.739154
3102,12/19/1978,-89.425339,40.591322,"Terra Haute, IN - Moline, IN",Galesburg Aviation - Air Taxi,Cessna 210L,N4638Q,2,2,1,0,0,0,0,0,0,"Terra Haute, IN","Moline, IN",-81.694548,30.786345,-90.515134,41.5067
3103,12/21/1978,-165.58639,61.52778,"St. Marys, AK - Chevak, AK",Chugiak Aviation - Air Taxi,Cessna 207,N7378U,7,2,0,0,0,0,0,0,1,"St. Marys, AK","Chevak, AK",-163.165833,62.053056,-165.586389,61.527778
3104,12/23/1978,13.10734,38.15615,Rome - Palermo,Alitalia,McDonnell Douglas DC-9-32,I-DIKQ,129,108,0,0,0,0,0,0,0,Rome,Palermo,12.485338,41.894802,13.352443,38.111227
3106,12/28/1978,-122.690794,45.507856,Denver - Portland,United Air Lines,McDonnell Douglas DC-8-61,N8082U,189,10,0,0,0,0,0,1,0,Denver,Portland,-104.984703,39.739154,-122.674195,45.520247
